Place,Date_start,Date_end,Type_of_Exchange,Currency_From,Amount_From,Currency_To,Amount_To,Notes,Source
Florence,1349.11,,Accounting,"Florence, florin of",1,"Florence, soldo of",62.5,4,289
Florence,1350.08,,Accounting,"Florence, florin of",1,"Florence, soldo of",64,4,289
Florence,1350.09,,Accounting,"Florence, florin of",1,"Florence, soldo of",64.33,4,289
Florence,1350.10,,Accounting,"Florence, florin of",1,"Florence, soldo of",64.25,4,289
Florence,1351,,Manual,"Florence, florin of",1,"Florence, soldo of",64,5,31
Florence,1351,,Commercial,"Florence, florin of",1,"Florence, soldo of",68.75,5,111
Florence,1351.10,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",65.5,5,289
Florence,1351.10,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",66,5,289
Florence,1352,1353,Commercial,"Florence, florin of",1,"Florence, soldo of",68,5,111
Florence,1352.05.10,,Commercial,"Florence, florin of",1,"Florence, soldo of",67.75,5,438
Florence,1352.12,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",67.33,5,289
Florence,1353.02,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",68,5,289
Florence,1353.05,1353.06,Commercial,"Florence, florin of",1,"Florence, soldo of",68,5,438
Florence,1353.05,1353.06,Commercial,"Florence, florin of",1,"Florence, soldo of",67.75,5,438
Florence,1353.06,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",69,5,289
Florence,1353.10,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",68.5,5,289
Florence,1354,,Manual,"Florence, florin of",1,"Florence, soldo of",70,5,31
Florence,1354,,Commercial,"Florence, florin of",1,"Florence, soldo of",69.83,5,111
Florence,1354.12.05,,Commercial,"Florence, florin of",1,"Florence, soldo of",69.83,5,427
Florence,1355,,Commercial,"Florence, florin of",1,"Florence, soldo of",69,5,111
Florence,1355.11.28,,Commercial,"Florence, florin of",1,"Florence, soldo of",71,5,427
Florence,1356,1358,Manual,"Florence, florin of",1,"Florence, soldo of",70,5,31
Florence,1356.01,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",69,5,289
Florence,1356.03,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",69.33,5,289
Florence,1356.04,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",69,5,289
Florence,1356.05,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",68.5,5,289
Florence,1357.01,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",68.33,5,289
Florence,1358,,Commercial,"Florence, florin of",1,"Florence, soldo of",67.83,5,438
Florence,1358,,Commercial,"Florence, florin of",1,"Florence, soldo of",70,5,111
Florence,1358.05,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",68,5,289
Florence,1358.07,,Commercial,"Florence, florin of",1,"Florence, soldo of",66.92,5,438
Florence,1358.09,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",67,5,289
Florence,1358.11,,Manual,"Florence, florin of",1,"Florence, soldo of",67.25,5,289
Florence,1358.11.03,,Commercial,"Florence, florin of",1,"Florence, soldo of",70,5,427
Florence,1359,,Manual,"Florence, florin of",1,"Florence, soldo of",67.25,5,31
Florence,1360,,Manual,"Florence, florin of",1,"Florence, soldo of",68,5,31
